儀,0,['yí']
儂,0,['nóng']
億,0,['yì']
儅,0,['dàng']
儆,0,['jǐng']
儇,0,['xuān']
儈,0,['kuài']
儉,0,['jiǎn']
儋,0,['dān']
儒,0,['rú']
儕,0,['chái']
儘,0,['jǐn']
償,0,['cháng']
儡,0,['lěi']
優,0,['yōu']
儲,0,['chǔ']
儷,0,['lì']
儸,0,['luó']
儺,0,['nuó']
儻,0,['tǎng']
儼,0,['yǎn']
儿,11,['ér']
兀,0,['wù']
允,0,['yǔn']
元,1,['yuán']
兄,1,['xiōng']
充,0,['chōng']
兆,7,['zhào']
兇,0,['xiōng']
先,3,['xiān']
光,0,['guāng']
克,15,['kè']
兌,0,['duì']
免,4,['miǎn']
兑,0,['duì']
兒,0,['ér']
兓,0,['jīn']
兔,0,['tù']
兕,0,['sì']
兖,0,['yǎn']
兗,0,['yǎn']
党,0,['dǎng']
兜,1,['dōu']
兟,0,['shēn']
兢,0,['jīng']
入,2,['rù']
內,0,['nèi']
全,11,['quán']
兩,0,['liǎng']
八,10,['bā']
公,4,['gōng']
六,4,['liù']
兮,0,['xī']
兰,0,['lán']
共,3,['gòng']
关,20,['guān']
兴,5,['xìng']
兵,0,['bīng']
其,2,['qí']
具,0,['jù']
典,1,['diǎn']
兹,0,['zī']
养,4,['yǎng']
兼,0,['jiān']
兽,0,['shòu']
冀,0,['jì']
冁,0,['chǎn']
冂,0,['jiōng']
内,3,['nèi']
円,0,['yuán']
冈,4,['gāng']
冉,0,['rǎn']
冊,0,['cè']
冋,0,['jiōng']
册,2,['cè']
再,16,['zài']
冎,0,['guǎ']
冏,0,['jiǒng']
冑,0,['zhòu']
冒,0,['mào']
冓,0,['gòu']
冕,0,['miǎn']
冖,0,['mì']
冗,0,['rǒng']
冘,0,['yín']
写,2,['xiě']
军,3,['jūn']
农,0,['nóng']
冝,0,['yí']
冠,0,['guān']
冡,0,['méng']
冢,0,['zhǒng']
冣,0,['jù']
冤,0,['yuān']
冥,0,['míng']
冪,0,['mì']
冫,0,['bīng']
冬,0,['dōng']
冯,0,['féng']
冰,1,['bīng']
冱,0,['hù']
冲,4,['chōng']
决,7,['jué']
况,5,['kuàng']
冶,0,['yě']
冷,0,['lěng']
冻,0,['dòng']
冼,0,['xiǎn']
冽,0,['liè']
净,1,['jìng']
凄,0,['qī']
准,11,['zhǔn']
凇,0,['sōng']
凈,0,['jìng']
凉,0,['liáng']
凋,0,['diāo']
凌,0,['líng']
凍,0,['dòng']
减,0,['jiǎn']
凑,0,['còu']
凛,0,['lǐn']
凜,0,['lǐn']
凝,0,['níng']
几,9,['jǐ']
凡,0,['fán']
凤,0,['fèng']
処,0,['chǔ']
凫,0,['fú']
凭,0,['píng']
凯,1,['kǎi']
凰,0,['huáng']
凱,0,['kǎi']
凳,2,['dèng']
凵,0,['qiǎn']
凶,0,['xiōng']
凸,0,['tū']
凹,0,['āo']
出,21,['chū']
击,0,['jī']
凼,0,['dàng']
函,0,['hán']
凿,0,['záo']
刀,0,['dāo']
刁,0,['diāo']
刂,0,['dāo']
刃,0,['rèn']
刅,0,['chuāng']
分,17,['fēn']
切,8,['qiè']
刈,0,['yì']
刊,0,['kān']
刍,0,['chú']
刎,0,['wěn']
刑,0,['xíng']
划,1,['huà']
刖,0,['yuè']
列,0,['liè']
刘,0,['liú']
则,4,['zé']
刚,8,['gāng']
创,1,['chuàng']
初,0,['chū']
删,0,['shān']
判,1,['pàn']
別,0,['bié']
刨,0,['páo']
利,10,['lì']
刪,0,['shān']
别,13,['bié']
刭,0,['jǐng']
刮,0,['guā']
到,54,['dào']
刳,0,['kū']
制,1,['zhì']
刷,0,['shuā']
券,0,['quàn']
刹,0,['shā']
刺,0,['cì']
刻,0,['kè']
刽,0,['guì']
刿,0,['guì']
剀,0,['kǎi']
剁,0,['duò']
剂,0,['jì']
剃,0,['tì']
則,0,['zé']
削,0,['xuē']
剋,0,['kè']
剌,0,['lá']
前,14,['qián']
剎,0,['shā']
剐,0,['guǎ']
剑,0,['jiàn']
剔,0,['tī']
剖,0,['pōu']
剛,0,['gāng']
剜,0,['wān']
剝,0,['bō']
剞,0,['jī']
剡,0,['shàn']
剥,0,['bō']
剧,0,['jù']
剩,3,['shèng']
剪,0,['jiǎn']
剮,0,['guǎ']
副,0,['fù']
割,0,['gē']
剳,0,['dá']
創,0,['chuàng']
剷,0,['chǎn']
剽,0,['piāo']
剿,0,['jiǎo']
劁,0,['qiāo']
劂,0,['jué']
劃,0,['huà']
劄,0,['zhā']
劇,0,['jù']
劈,0,['pī']
劉,0,['liú']
劊,0,['guì']
劍,0,['jiàn']
劐,0,['huō']
劑,0,['jì']
劓,0,['yì']
力,6,['lì']
劝,0,['quàn']
办,16,['bàn']
功,4,['gōng']
加,12,['jiā']
务,4,['wù']
劢,0,['mài']
劣,0,['liè']
劦,0,['xié']
动,5,['dòng']
助,2,['zhù']
努,2,['nǔ']
劫,2,['jié']
劬,0,['qú']
劭,0,['shào']
励,0,['lì']
劲,1,['jìn']
劳,0,['láo']
劵,0,['juàn']
劼,0,['jié']
劾,0,['hé']
势,1,['shì']
勁,0,['jìn']
勃,0,['bó']
勇,1,['yǒng']
勈,0,['yǒng']
勉,0,['miǎn']
勋,0,['xūn']
勐,0,['měng']
勒,7,['lēi']
動,0,['dòng']
勖,0,['xù']
勘,0,['kān']
務,0,['wù']
勛,0,['xūn']
勝,0,['shèng']
勞,0,['láo']
募,0,['mù']
勢,0,['shì']
勤,0,['qín']
勦,0,['chāo']
勰,0,['xié']
勳,0,['xūn']
勵,0,['lì']
勸,0,['quàn']
勹,0,['bāo']
勺,0,['sháo']
勻,0,['yún']
勾,2,['gōu']
勿,0,['wù']
匀,0,['yún']
包,3,['bāo']
匆,0,['cōng']
匈,0,['xiōng']
匊,0,['jū']
匋,0,['táo']
匍,0,['pú']
匏,0,['páo']
匐,0,['fú']
匕,0,['bǐ']
化,0,['huà']
北,0,['běi']
匙,6,['chí', 'shī']
匚,0,['fāng']
匛,0,['jiù']
匝,0,['zā']
匠,1,['jiàng']
匡,0,['kuāng']
匣,0,['xiá']
匦,0,['guǐ']
匧,0,['qiè']
匪,0,['fěi']
匭,0,['guǐ']
匮,0,['kuì']
匯,0,['huì']
匱,0,['kuì']
匸,0,['xì']
匹,0,['pǐ']
区,1,['qū']
医,10,['yī']
匽,0,['yǎn']
匾,0,['biǎn']
匿,0,['nì']
區,0,['qū']
十,5,['shí']
卂,0,['xùn']
千,5,['qiān']
卄,0,['niàn']
卅,0,['sà']
升,1,['shēng']
午,2,['wǔ']
卉,0,['huì']
半,2,['bàn']
卌,0,['xì']
华,5,['huá']
协,0,['xié']
卑,0,['bēi']
卒,0,['zú']
卓,0,['zhuō']
協,0,['xié']
单,1,['dān']
卖,1,['mài']
南,3,['nán']
博,5,['bó']
卜,0,['bo']
卞,0,['biàn']
卟,0,['bǔ']
占,1,['zhàn']
卡,6,['kǎ']
卢,0,['lú']
卣,0,['yǒu']
卤,0,['lǔ']
卦,0,['guà']
卧,0,['wò']
卩,0,['jié']
卫,3,['wèi']
卬,0,['áng']
卮,0,['zhī']
卯,0,['mǎo']
印,1,['yìn']
危,0,['wēi']
即,0,['jí']
却,2,['què']
卵,0,['luǎn']
卷,1,['juǎn']
卸,0,['xiè']
卹,0,['xù']
卺,0,['jǐn']
卻,0,['què']
卿,0,['qīng']
厂,0,['chǎng']
厃,0,['wěi']
厄,0,['è']
厅,4,['tīng']
历,0,['lì']
厉,3,['lì']
压,1,['yā']
厌,0,['yàn']
厍,0,['shè']
厓,0,['yá']
厕,0,['cè']
厗,0,['tí']
厘,0,['lí']
厚,0,['hòu']
厝,0,['cuò']
原,3,['yuán']
厢,0,['xiāng']
厣,0,['yǎn']
厤,0,['lì']
厥,0,['jué']
厦,0,['shà']
厨,1,['chú']
厩,0,['jiù']
厪,0,['jǐn']
厭,0,['yàn']
厮,0,['sī']
厲,0,['lì']
厶,0,['sī']
厷,0,['gōng']
厹,0,['róu']
去,77,['qù']
厽,0,['lěi']
县,0,['xiàn']
叀,0,['zhuān']
叁,0,['sān']
参,1,['cān']
參,0,['cān']
又,14,['yòu']
叉,0,['chā']
及,0,['jí']
友,13,['yǒu']
双,2,['shuāng']
反,0,['fǎn']
发,19,['fā']
叒,0,['ruò']
叔,6,['shū']
叕,0,['zhuó']
取,1,['qǔ']
受,7,['shòu']
变,7,['biàn']
叙,0,['xù']
叚,0,['jiǎ']
叛,5,['pàn']
叟,0,['sǒu']
叠,0,['dié']
叢,0,['cóng']
口,4,['kǒu']
古,0,['gǔ']
句,1,['jù', 'gōu']
另,0,['lìng']
叨,0,['dāo']
叩,0,['kòu']
只,27,['zhī']
叫,14,['jiào']
召,0,['zhào']
叭,0,['bā']
叮,0,['dīng']
可,54,['kě']
台,0,['tái']
叱,0,['chì']
史,5,['shǐ']
右,0,['yòu']
叵,0,['pǒ']
叶,0,['yè']
号,1,['hào']
司,2,['sī']
叹,0,['tàn']
叻,0,['lè']
叼,0,['diāo']
叽,0,['jī']
吁,0,['xū']
吂,0,['máng']
吃,18,['chī']
各,1,['gè']
吆,0,['yāo']
合,8,['hé']
吉,0,['jí']
吊,0,['diào']
吋,0,['cùn']
同,5,['tóng']
名,5,['míng']
后,19,['hòu']
吏,0,['lì']
吐,0,['tǔ']
向,2,['xiàng']
吒,0,['zhà']
吓,1,['xià']
吕,0,['lǚ']
吖,0,['yā']
吗,86,['ma']
君,0,['jūn']
吝,0,['lìn']
吞,0,['tūn']
吟,0,['yín']
吠,0,['fèi']
吡,0,['bǐ']
吣,0,['qìn']
否,3,['fǒu']
吧,31,['bā']
吨,0,['dūn']
吩,0,['fēn']
含,1,['hán']
听,15,['tīng']
吭,0,['kēng']
吮,0,['shǔn']
启,1,['qǐ']
吱,0,['zhī']
吲,0,['yǐn']
吳,0,['wú']
吴,0,['wú']
吵,2,['chǎo']
吶,0,['nà']
吸,0,['xī']
吹,0,['chuī']
吻,0,['wěn']
吼,0,['hǒu']
吾,0,['wú']
呀,2,['ya']
呂,0,['lǚ']
呃,0,['è']
呆,0,['dāi']
呈,0,['chéng']
告,19,['gào']
呋,0,['fū']
呎,0,['chǐ']
呐,0,['nà']
呑,0,['tūn']
呒,0,['fǔ']
呓,0,['yì']
呔,0,['dāi']
呕,0,['ǒu']
呖,0,['lì']
呗,0,['bei']
员,0,['yuán']
呙,0,['guō']
呛,0,['qiāng']
呜,0,['wū']
呢,17,['né', 'ne']
呣,0,['ḿ']
呤,0,['lìng']
呦,0,['yōu']
周,3,['zhōu']
呫,0,['tiè']
呱,0,['gū']
呲,0,['cī']
味,0,['wèi']
呵,0,['hē']
呶,0,['náo']
呷,0,['gā']
呸,0,['pēi']
呻,0,['shēn']
呼,0,['hū']
命,4,['mìng']
咀,0,['jǔ']
咂,0,['zā']
咄,0,['duō']
咅,0,['pǒu']
咆,0,['páo']
咋,0,['zǎ']
和,11,['hé']
咎,0,['jiù']
咏,0,['yǒng']
咐,0,['fù']
咑,0,['dā']
咒,0,['zhòu']
咔,0,['kā']
咕,0,['gū']
咖,4,['kā']
咙,0,['lóng']
咚,0,['dōng']
咛,0,['níng']
咝,0,['sī']
咠,0,['qì']
咢,0,['è']
咣,0,['guāng']
咤,0,['zhà']
咥,0,['xì']
咦,0,['yí']
咧,0,['liě']
咨,0,['zī']
咩,0,['miē']
咪,0,['mī']
咫,0,['zhǐ']
咬,0,['yǎo']
咭,0,['jī']
咯,0,['gē']
咱,0,['zán']
咳,0,['hāi']
咴,0,['huī']
咸,0,['xián']
咻,1,['xiū']
咼,0,['guō']
咽,0,['yàn']
咾,0,['lǎo']
咿,0,['yī']
哀,1,['āi']
品,1,['pǐn']
哂,0,['shěn']
哄,0,['hōng']
哆,0,['duō']
哇,1,['wa']
哈,4,['hā']
哉,0,['zāi']
哌,0,['pài']
响,1,['xiǎng']
哎,0,['āi']
哏,0,['gén']
哐,0,['kuāng']
哑,0,['yǎ']
哒,0,['dā']
哓,0,['xiāo']
哔,0,['bì']
哕,0,['huì']
哗,0,['huā']
哙,0,['kuài']
哚,0,['duǒ']
哜,0,['jì']
哝,0,['nóng']
哞,0,['mōu']
哟,0,['yō']
員,0,['yuán']
哥,1,['gē']
哦,0,['ó']
哧,0,['chī']
哨,0,['shào']
哩,0,['lī']
哪,18,['nǎ']
哭,0,['kū']
哮,0,['xiāo']
哱,0,['bō']
哲,0,['zhé']
哳,0,['zhā']
哺,0,['bǔ']
哼,0,['hēng']
哽,0,['gěng']
哿,0,['gě']
唁,0,['yàn']
唄,0,['bei']
唅,0,['hán']
唆,0,['suō']
唇,1,['chún']
唉,0,['āi']
唎,0,['lì']
唏,0,['xī']
唐,1,['táng']
唑,0,['zuò']
唔,0,['wú']
唚,0,['qìn']
唛,0,['mà']
唝,0,['gòng']
唠,0,['láo']
唢,0,['suǒ']
唣,0,['zào']
唤,1,['huàn']
唧,0,['jī']
唪,0,['fěng']
唫,0,['jìn']
唬,0,['hǔ']
售,0,['shòu']
唯,4,['wéi']
唰,0,['shuā']
唱,8,['chàng']
唳,0,['lì']
唵,0,['ǎn']
唷,0,['yō']
唸,0,['niàn']
唼,0,['shà']
唾,0,['tuò']
唿,0,['hū']
啁,0,['zhāo']
啃,0,['kěn']
啄,0,['zhuó']
商,2,['shāng']
啇,0,['dì']
啉,0,['lín']
啊,30,['a']
問,0,['wèn']
啐,0,['cuì']
啓,0,['qǐ']
啕,0,['táo']
啖,0,['dàn']
啚,0,['bǐ']
啜,0,['chuài']
啞,0,['yǎ']
啟,0,['qǐ']
啡,4,['fēi']
啤,1,['pí']
啥,0,['shà']
啦,12,['la']
啧,0,['zé']
啪,0,['pā']
啫,0,['zhě']
啬,0,['sè']
啭,0,['zhuàn']
啮,0,['niè']
啰,3,['luō']
啴,0,['chǎn']
啵,0,['bo']
啶,0,['dìng']
啷,0,['lāng']
啸,0,['xiào']
啻,0,['chì']
啼,0,['tí']
啾,0,['jiū']
喀,0,['kā']
喁,0,['yóng']
喂,3,['wèi']
喃,0,['nán']
善,3,['shàn']
喆,0,['zhé']
喇,0,['lǎ']
喈,0,['jiē']
